Molecule,1H Shift (delta) (ppm),Multiplicity,J constant (Hz),Biologic origin,Source,Author
GPC,4.32,Triplet,,Metabolites,Miscelaneous list,Unknown
GPC,4.32,Triplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
5-Hydroxymethyluracil,4.34,Singlet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
"4,5-dihydroorotic acid",4.35,Multiplet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
GPC,4.36,Multiplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
N-acetylglutamic acid,4.38,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
NAA,4.3817,Doublet of doublets,3.861,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Dihydroacetone,4.42,Singlet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
GalNAcFuc (Blood group A trisaccharide),4.42,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Inosine,4.44,Triplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Inosine,4.44,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
N-acetylaspartylglutamic acid,4.44,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Trigonelline,4.44,Singlet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Lactose,4.44,Doublet,,Sugars and polyols,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Trigonelline,4.44,Singlet,,Food additives in body fluid - Coffee,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Inosine,4.44,,,,,
βMan(1-4)GlcNAc,4.45,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Biantennary octasaccharide (in GM1-gangliosidosis urine),4.46,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Homocarnosine,4.472,Multiplet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
N-methylnicotinamide,4.48,,,,,
Arabinose,4.5,Doublet,,Sugars and polyols,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Ascorbic acid,4.52,Doublet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Folate,4.53,Singlet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
β-Galactose,4.53,Singlet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
βMan(1-4)GlcNAc,4.53,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
βMan(1-4)GlcNAc,4.53,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Fucose,4.54,Doublet,,Sugars and polyols,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Glutathione,4.56,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Xylose,4.56,Doublet,,Sugars and polyols,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Glutathione,4.5608,Doublet of doublets,7.09,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
N-acetyltyrosine,4.57,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Biantennary octasaccharide (in GM1-gangliosidosis urine),4.57,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Glactose,4.57,Doublet,,Sugars and polyols,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Glutathione,4.58,Doublet of doublets,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
β-Glucose,4.61,Doublet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Glucose,4.63,Doublet,,Sugars and polyols,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
β-Glucose,4.64,Doublet,,Metabolites in human hepatic bile,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
β-Glucose,4.64,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
β-Glucose,4.65,Doublet,,Human liver tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
β-Glucose,4.65,Doublet,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
β-Glucose,4.65,Doublet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Lactose,4.66,Doublet,,Sugars and polyols,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
β-Glucose,4.67,Doublet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Pyridoxine,4.7,Singlet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
N-acetyltryptophan,4.7,Quartet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Manβ1-4GlcNAc,4.72,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
N-acetylaspartic acid,4.72,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
N-acetylaspartylglutamic acid,4.72,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Inosine,4.78,,,,,
Pyridoxine,4.8,Singlet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Fuc-GlcNAc-Asn,4.9,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Ribose,4.92,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Vitamin C,4.97,Doublet,,Food additives in body fluid - Vitamin tablets,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Vitamin C,4.97,Doublet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Pyridoxine,5,Singlet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
βMan(1-4)GlcNAc,5.05,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
GlcNAc-Asn,5.08,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Manα1-3Manβ1-4GlcNAc,5.1,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Fuc-GlcNAc-Asn,5.1,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
βMan(1-4)GlcNAc,5.11,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
βMan(1-4)GlcNAc,5.11,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Biantennary octasaccharide (in GM1-gangliosidosis urine),5.11,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
GalNAcFuc (Blood group A trisaccharide),5.13,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
3-carboxamide derivative 2 (Coumarin),5.15,Doublet of quadruplets,,Naturally occurring coumarin (3-carboxamide derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
GalNAcFuc (Blood group A trisaccharide),5.15,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
4-Glucuronosidoacetanilide (Paracetamol metabolite),5.15,Doublet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
GalNAcFuc (Blood group A trisaccharide),5.18,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Xylose,5.18,Doublet,,Sugars and polyols,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Fucose,5.19,Doublet,,Sugars and polyols,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Glyceryl of lipids,5.2,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Manβ1-4GlcNAc,5.2,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Manα1-3Manβ1-4GlcNAc,5.2,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
βMan(1-4)GlcNAc,5.2,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
βMan(1-4)GlcNAc,5.2,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Biantennary octasaccharide (in GM1-gangliosidosis urine),5.2,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Arabinose,5.22,Doublet,,Sugars and polyols,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Glucose,5.22,Doublet,,Sugars and polyols,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Lactose,5.22,Doublet,,Sugars and polyols,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
α-Glucose,5.22,Doublet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
β-Glucose,5.23,Doublet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
α-Glucose,5.23,Doublet,,Metabolites in human hepatic bile,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
α-Glucose,5.23,Doublet,,Human liver tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
β-Glucose,5.23,Doublet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
α-Glucose,5.23,Doublet,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
α-Glucose,5.23,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Glycerol (est.),5.24,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
α-Glucose,5.24,Doublet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
α-Glucose,5.24,Doublet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Ribose,5.24,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Glactose,5.25,Doublet,,Sugars and polyols,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Glucose,5.25,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Allantoate,5.26,,,,,
Glucose,5.264,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
GalNAcFuc (Blood group A trisaccharide),5.29,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Lipids (triglycerides & Fatty acids),5.3,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Lipids,5.3,Multiplet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Lipid,5.3,Multiplet,,Metabolites,Miscelaneous list,Unknown
Lipid,5.3,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Triglycerides,5.33,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Unsaturated lipids,5.33,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Ribose,5.37,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
GalNAcFuc (Blood group A trisaccharide),5.38,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Allantoin,5.39,,,,,
Allantoin,5.393,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Glycogen,5.4,Doublet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Glycogen,5.4,Doublet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Sucrose,5.4,Multiplet,,Sugars and polyols,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Glycogen,5.41,Doublet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Glycogen,5.41,Doublet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Glycogen,5.43,Doublet,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
α-Maltose,5.45,Doublet,,Metabolites in human hepatic bile,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Hypoxanthine,5.45,Singlet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
GalNAcFuc (Blood group A trisaccharide),5.45,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Sabril,5.47,Multiplet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Orotidine,5.54,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Thiamine,5.56,Singlet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
β-1-glucuronide of (R)-Ketoprofen,5.58,Doublet,8.19,Anti-inflammatory,Ketoprofen triptic,Unknown
β-1-glucuronide of (S)-Ketoprofen,5.61,Doublet,8.19,Anti-inflammatory,Ketoprofen triptic,Unknown
Glutamate,5.67,Triplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Acesulfame K,5.67,Quartet,,Food additives in body fluid - Cola light,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
cis-aconitate,5.69,,,,,
Orotidine,5.77,Singlet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
SAICA-riboside,5.77,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Uracil,5.78,Doublet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Uracil,5.78,Doublet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Uracil,5.78,Doublet,,Metabolites,Miscelaneous list,Unknown
Uracil,5.79,Doublet,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Uracil,5.79,Doublet,,Pyrimidine pathway,4. Results 4.1 Pyrimidine Metabolites,Unknown
Uracil,5.79,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Uracil,5.8,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Sabril,5.8,Multiplet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Uridine,5.8,Doublet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Uracil,5.81,Doublet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Uridine,5.81,Doublet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Uracil,5.82,Doublet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
"5,6-dihydrouridine",5.83,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Cytosine,5.86,Doublet,,Metabolites,Miscelaneous list,Unknown
Cytosine,5.86,Doublet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Cytidine,5.88,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Uridine,5.89,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Xanthosine,5.89,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Uridine,5.9,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Cytosine,5.92,Doublet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Cytosine,5.92,Doublet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Guanosine,5.95,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Isocytosine,6.03,Doublet,,Metabolites,Miscelaneous list,Unknown
Isocytosine,6.03,Doublet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Inosine,6.09,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Adenosine,6.1,Doublet,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Inosine,6.1,Doublet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Inosine,6.1,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Inosine,6.1,,,,,
Succinyladenosine (S-adenosine),6.12,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
ATP,6.126,Doublet,5.7,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Cytosine,6.13,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Adenosine,6.16,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Adenylosuccinic acid,6.19,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Orotic acid,6.22,Singlet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Cytidine,6.23,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Deoxythymine (Thymidine),6.28,Triplet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Allopurinol-1-riboside,6.29,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Deoxyguanosine,6.34,Triplet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Homocarnosine,6.397,Singlet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Urocanate,6.4,Doublet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Deoxyinosine,6.49,Triplet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Fumarate,6.51,Singlet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Fumarate,6.52,,,,,
Fumarate,6.53,Singlet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Deoxyadenosine,6.54,Triplet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Phosphocreatine,6.581,Singlet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
trans-Aconitate,6.59,,,,,
Creatine,6.649,Singlet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Porphilogen,6.679,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
ATP,6.755,Singlet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Tyrosine,6.8,Doublet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Glutamine,6.816,Singlet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Tyrosine,6.87,Doublet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Tyrosine,6.87,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Tyrosine,6.87,Doublet of Doublets,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Tyrosine,6.87,Doublet of doublets,,Metabolites,Miscelaneous list,Unknown
Tyrosine,6.87,Doublet of doublets,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Tyrosine,6.879,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Tyrosine,6.88,Doublet,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Tyrosine,6.8895,Multiplet,0.311,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Tyrosine,6.8895,Multiplet,2.445,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Tyrosine,6.9,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Tyrosine,6.9,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Tyrosine,6.91,Doublet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Tyrosine,6.91,,,,,
"2,5 (OH)2 Benzoate",6.978,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Histidine,6.99,Singlet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Histidine,7.01,Singlet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Histidine,7.058,Multiplet,"1.2, 0.72",Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Homocarnosine,7.075,Singlet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Histamine,7.094,Multiplet,"1.19, 0.73",Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Tyrosine,7.13,Doublet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Glutathione,7.154,Triplet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Tyrosine,7.16,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Tyrosine,7.16,Doublet of doublets,,Metabolites,Miscelaneous list,Unknown
Tyrosine,7.16,Doublet of doublets,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Tyrosine,7.17,Doublet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
N-acetyltryptophan,7.17,Triplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Tyrosine,7.17,,,,,
Tyrosine,7.18,Doublet,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Tyrosine,7.1852,Multiplet,7.981,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Tyrosine,7.1852,Multiplet,"2.538, 0.460, 8.649",Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Tryptophan,7.19,Triplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Tyrosine,7.19,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Tryptophan,7.19,,,,,
Tryptophan,7.197,Triplet,7.507,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
